Context,Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Answer Key
"إشارة لتعميم الوزارة رقم 13/ت/7007 في 12/2/1439هـ المبني على قرارنا رقم 421 في 12/2/1439هـ القاضي بإجراء عدد من التعديلات على اللوائح التنفيذية لنظام المرافعات الشرعية. تجدون برفقه نسخة من قرارنا رقم 841 في 16/3/1439هـ القاضي بأن تحذف المادة رقم (224/3) من اللائحة التنفيذية لنظام المرافعات الشرعية، ونصها: ""الدائرة التي صدر عنها الإذن ببيع أو شراء نصيب القاصر أو الغائب هي التي تتولى إفراغه"". لذا نرغب إليكم الاطلاع والعمل بموجبه، وتجدون برفقه صورة من القرار المشار إليه. والله يحفظكم. / و",ما هو محتوى المادة رقم (224/3) من اللائحة التنفيذية لنظام المرافعات الشرعية التي تم حذفها؟,"""الدائرة التي صدر عنها الإذن ببيع أو شراء نصيب القاصر أو الغائب هي التي تتولى إفراغه""","""الدائرة التي صدر عنها الإذن ببيع أو شراء نصيب القاصر أو الغائب هي التي تتولى تقييمه""","""الدائرة التي صدر عنها الإذن ببيع أو شراء نصيب القاصر أو الغائب هي التي تتولى تسجيله""","""الدائرة التي صدر عنها الإذن ببيع أو شراء نصيب القاصر أو الغائب هي التي تتولى إفراغه""","""الدائرة التي صدر عنها الإذن ببيع أو شراء نصيب القاصر أو الغائب هي التي تتولى تنفيذه""",2
"تتكون المحاكم مما يلي:  1 - المحكمة العليا .  2 - محاكم الاستئناف .  3 - محاكم الدرجة الأولى ، وهي:  أ - المحاكم العامة .  ب - المحاكم الجزائية .  ج - محاكم الأحوال الشخصية .  د - المحاكم التجارية .  هـ - المحاكم العمالية .  وتختص كل منها بالمسائل التي ترفع إليها طبقًا لهذا النظام، ونظام المرافعات الشرعية، ونظام الإجراءات الجزائية. ويجوز للمجلس الأعلى للقضاء إحداث محاكم متخصصة أخرى بعد موافقة الملك.",ما هي المحاكم التي تتكون منها القضاء؟,"المحكمة العليا، محاكم الاستئناف، محاكم الدرجة الأولى","المحكمة العليا، محاكم الدرجة الثالثة، محاكم الدرجة الأولى","المحكمة العليا، محاكم الاستئناف، محاكم الدرجة الأولى","المحكمة العليا، محاكم الدرجة الثانية، محاكم الدرجة الأولى","المحكمة العليا، محاكم الدرجة الرابعة، محاكم الدرجة الأولى",1
"تتكون المحاكم مما يلي:  1 - المحكمة العليا .  2 - محاكم الاستئناف .  3 - محاكم الدرجة الأولى ، وهي:  أ - المحاكم العامة .  ب - المحاكم الجزائية .  ج - محاكم الأحوال الشخصية .  د - المحاكم التجارية .  هـ - المحاكم العمالية .  وتختص كل منها بالمسائل التي ترفع إليها طبقًا لهذا النظام، ونظام المرافعات الشرعية، ونظام الإجراءات الجزائية. ويجوز للمجلس الأعلى للقضاء إحداث محاكم متخصصة أخرى بعد موافقة الملك.",من يمكنه إحداث محاكم متخصصة أخرى؟,المجلس الأعلى للقضاء بعد موافقة الملك,الملك والمجلس الأعلى للقضاء بدون موافقة بعضهما البعض,الملك بدون موافقة المجلس الأعلى للقضاء,المجلس الأعلى للقضاء بعد موافقة الملك,المجلس الأعلى للقضاء بدون موافقة الملك,2
لا يجوز لأي شخص مباشرة أي إجراء من إجراءات الإثبات إلكترونياً إلا بوساطة حسابه الشخصي المسجل في الأنظمة الإلكترونية المعتمدة.,من يمكنه مباشرة إجراءات الإثبات الإلكتروني؟,الشخص الذي يمتلك حساباً شخصياً مسجلاً في الأنظمة الإلكترونية المعتمدة,أي شخص يمتلك حساباً إلكترونياً,الشخص الذي لديه خبرة في الأنظمة الإلكترونية,الشخص الذي يمتلك حساباً في أي نظام إلكتروني,الشخص الذي يمتلك حساباً شخصياً مسجلاً في الأنظمة الإلكترونية المعتمدة,3
لا يجوز لأي شخص مباشرة أي إجراء من إجراءات الإثبات إلكترونياً إلا بوساطة حسابه الشخصي المسجل في الأنظمة الإلكترونية المعتمدة.,ما الذي يجب أن يكون لديك لتتمكن من مباشرة إجراءات الإثبات الإلكتروني؟,حساب شخصي مسجل في الأنظمة الإلكترونية المعتمدة,حساب في الأنظمة الإلكترونية غير المعتمدة,حساب في أي موقع إلكتروني,حساب شخصي مسجل في الأنظمة الإلكترونية المعتمدة,خبرة في استخدام الأنظمة الإلكترونية,2
(...إفهام الزوجة التي يصدر عليها حكم بالانقياد لطاعة زوجها بالأثر المترتب على عدم انقيادها ومن ذلك اعتبارها ناشزاً لا نفقة لها...إلخ.)/و . ينظر نص التعميم في النشوز 3/661.,ما هو الأثر المترتب على عدم انقياد الزوجة لطاعة زوجها بناءً على الحكم القضائي؟,اعتبارها ناشزاً ولا نفقة لها,اعتبارها مطلقة ولا حق لها في الميراث,اعتبارها ناشزاً ولا نفقة لها,اعتبارها مخالفة للقانون وتعرض للعقوبة,اعتبارها متمردة وتحرم من حق الحضانة,1
(...إفهام الزوجة التي يصدر عليها حكم بالانقياد لطاعة زوجها بالأثر المترتب على عدم انقيادها ومن ذلك اعتبارها ناشزاً لا نفقة لها...إلخ.)/و . ينظر نص التعميم في النشوز 3/661.,أين يمكن العثور على نص التعميم المتعلق بالنشوز؟,في النشوز 3/661,في الحضانة 4/789,في الزواج 1/123,في النشوز 3/661,في الطلاق 2/345,2
"يقوم كاتب العدل بأعمال التوثيق في كتابة العدل، ولا ينتقل خارجها إلا وفق ضوابط تحددها الإدارة المختصة، أما الموثق فله أن ينتقل إذا طلب ذوو الشأن ذلك. وفي غير ما ذكر لا يجوز -بأي حال- إخراج وعاء التوثيق أو أي مستند رسمي محفوظ خارج كتابة العدل أو مكتب التوثيق.",من يقوم بأعمال التوثيق في كتابة العدل؟,كاتب العدل,الموثق,ذوو الشأن,الإدارة المختصة,كاتب العدل,3
"يقوم كاتب العدل بأعمال التوثيق في كتابة العدل، ولا ينتقل خارجها إلا وفق ضوابط تحددها الإدارة المختصة، أما الموثق فله أن ينتقل إذا طلب ذوو الشأن ذلك. وفي غير ما ذكر لا يجوز -بأي حال- إخراج وعاء التوثيق أو أي مستند رسمي محفوظ خارج كتابة العدل أو مكتب التوثيق.",متى يمكن للموثق أن ينتقل خارج كتابة العدل؟,إذا طلب ذوو الشأن ذلك,إذا طلب ذوو الشأن ذلك,إذا طلب كاتب العدل ذلك,في جميع الأحوال,إذا طلبت الإدارة المختصة ذلك,0
"يترتب على انقطاع الخصومة وقف جميع مواعيد المرافعات التي كانت جارية في حق الخصوم، وبطلان جميع الإجراءات التي تحصل أثناء الانقطاع.",ماذا يترتب على انقطاع الخصومة؟,"وقف جميع مواعيد المرافعات التي كانت جارية في حق الخصوم، وبطلان جميع الإجراءات التي تحصل أثناء الانقطاع.",تأجيل جميع مواعيد المرافعات التي كانت جارية في حق الخصوم.,"وقف جميع مواعيد المرافعات التي كانت جارية في حق الخصوم، وبطلان جميع الإجراءات التي تحصل أثناء الانقطاع.",لا يوجد أي تأثير على المرافعات أو الإجراءات.,تأجيل جميع الإجراءات التي تحصل أثناء الانقطاع.,1
"يترتب على انقطاع الخصومة وقف جميع مواعيد المرافعات التي كانت جارية في حق الخصوم، وبطلان جميع الإجراءات التي تحصل أثناء الانقطاع.",ما هو تأثير الانقطاع على الإجراءات التي تحصل أثناءه؟,بطلان جميع الإجراءات التي تحصل أثناء الانقطاع.,بطلان جميع الإجراءات التي تحصل أثناء الانقطاع.,تأجيل جميع الإجراءات التي تحصل أثناء الانقطاع.,لا يوجد أي تأثير على الإجراءات التي تحصل أثناء الانقطاع.,تعليق جميع الإجراءات التي تحصل أثناء الانقطاع.,0
"إذا قرر المحجوز لديه بما في ذمته تقريراً صحيحاً، وامتنع عن الإيداع خلال المدة المحددة؛ فللدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما لا يزيد على المال المحجوز، دون الحاجة إلى إجراء حجز جديد، ويُعدّ قرار الحجز سنداً تنفيذياً في حق المحجوز لديه.",ماذا يحدث إذا قرر المحجوز لديه بما في ذمته تقريراً صحيحاً وامتنع عن الإيداع خلال المدة المحددة؟,يحق للدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما لا يزيد على المال المحجوز,يحق للدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما يقل عن المال المحجوز,يحق للدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما يساوي المال المحجوز,يحق للدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما لا يزيد على المال المحجوز,يحق للدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما يزيد على المال المحجوز,2
"إذا قرر المحجوز لديه بما في ذمته تقريراً صحيحاً، وامتنع عن الإيداع خلال المدة المحددة؛ فللدائن المحكوم له بموجب الحكم الصادر على المدين التنفيذ على المحجوز لديه بما لا يزيد على المال المحجوز، دون الحاجة إلى إجراء حجز جديد، ويُعدّ قرار الحجز سنداً تنفيذياً في حق المحجوز لديه.",ماذا يُعدّ قرار الحجز في حق المحجوز لديه؟,يُعدّ قرار الحجز سنداً تنفيذياً في حق المحجوز لديه,يُعدّ قرار الحجز سنداً تشريعياً في حق المحجوز لديه,يُعدّ قرار الحجز سنداً تنفيذياً في حق المحجوز لديه,يُعدّ قرار الحجز سنداً قضائياً في حق المحجوز لديه,يُعدّ قرار الحجز سنداً إدارياً في حق المحجوز لديه,1
"يعد طلب القيد كأن لم يكن إذا لم يقدم صاحب الشأن البيانات والوثائق المؤيدة للطلب اللازمة لإتمامه خلال سنة من تاريخ تقديمه، وتمدد هذه المدة مرة واحدة سنة أخرى إذا قدم قبل انتهاء السنة الأولى بخمسة عشر يوماً طلباً لمد ذلك الأجل.",ماذا يحدث إذا لم يقدم صاحب الشأن البيانات والوثائق المؤيدة للطلب اللازمة لإتمامه خلال سنة من تاريخ تقديمه؟,يعد طلب القيد كأن لم يكن,يتم تمديد الطلب لسنة أخرى,يعد طلب القيد كأن لم يكن,يتم تجميد الطلب حتى يتم تقديم الوثائق المطلوبة,يتم رفض الطلب فوراً,1
"يعد طلب القيد كأن لم يكن إذا لم يقدم صاحب الشأن البيانات والوثائق المؤيدة للطلب اللازمة لإتمامه خلال سنة من تاريخ تقديمه، وتمدد هذه المدة مرة واحدة سنة أخرى إذا قدم قبل انتهاء السنة الأولى بخمسة عشر يوماً طلباً لمد ذلك الأجل.",متى يمكن تمديد المدة لتقديم البيانات والوثائق المؤيدة للطلب؟,إذا قدم قبل انتهاء السنة الأولى بخمسة عشر يوماً طلباً لمد ذلك الأجل,إذا قدم قبل انتهاء السنة الأولى بعشرة أيام طلباً لمد ذلك الأجل,إذا قدم بعد انتهاء السنة الأولى بخمسة عشر يوماً طلباً لمد ذلك الأجل,إذا قدم بعد انتهاء السنة الأولى بعشرة أيام طلباً لمد ذلك الأجل,إذا قدم قبل انتهاء السنة الأولى بخمسة عشر يوماً طلباً لمد ذلك الأجل,3
"يجب أن يتضمن قرار اللجنة بإيقاع العقوبة: بيانات المخالف، ووصف المخالفة وأدلة ثبوتها، وتسبيب القرار، والإجابة على دفوع المخالف.",ما الذي يجب أن يتضمنه قرار اللجنة بإيقاع العقوبة؟,"بيانات المخالف، ووصف المخالفة وأدلة ثبوتها، وتسبيب القرار، والإجابة على دفوع المخالف.","بيانات المخالف، ووصف المخالفة فقط.",بيانات المخالف فقط.,"بيانات المخالف، ووصف المخالفة وأدلة ثبوتها فقط.","بيانات المخالف، ووصف المخالفة وأدلة ثبوتها، وتسبيب القرار، والإجابة على دفوع المخالف.",3
"يجب أن يتضمن قرار اللجنة بإيقاع العقوبة: بيانات المخالف، ووصف المخالفة وأدلة ثبوتها، وتسبيب القرار، والإجابة على دفوع المخالف.",ما الذي لا يتضمنه قرار اللجنة بإيقاع العقوبة؟,الإجابة على دفوع الشاكي.,الإجابة على دفوع المخالف.,تسبيب القرار.,الإجابة على دفوع الشاكي.,وصف المخالفة وأدلة ثبوتها.,2
"دون إخلال بالنصوص النظامية؛ لا يتم العقد في المزايدات إلا برسو المزايدة، ويسقط العطاء بعطاء يزيد عليه ولو وقع باطلاً، أو بإقفال المزايدة دون رسوّها على أحد.",متى يتم العقد في المزايدات؟,برسو المزايدة,بإقفال المزايدة,جميع الأجوبة صحيحة,بعطاء يزيد عليه,برسو المزايدة,3
للمحكمة -من تلقاء نفسها أو بناء على طلب أحد الخصوم- أن تستجوب من يكون حاضراً من الخصوم.  لأي من الخصوم استجواب خصمه مباشرة.,من يمكن للمحكمة أن تستجوب؟,أي من الخصوم,أي من الخصوم,النيابة العامة فقط,المحامي فقط,الشاهد فقط,0
للمحكمة -من تلقاء نفسها أو بناء على طلب أحد الخصوم- أن تستجوب من يكون حاضراً من الخصوم.  لأي من الخصوم استجواب خصمه مباشرة.,كيف يمكن للمحكمة أن تستجوب الخصوم؟,من تلقاء نفسها أو بناء على طلب أحد الخصوم,من تلقاء نفسها أو بناء على طلب أحد الخصوم,بناء على طلب النيابة العامة فقط,فقط من تلقاء نفسها,فقط بناء على طلب أحد الخصوم,0
يصدر للمحامي بطاقة مشتملة على البيانات اللازمة والتعليمات الهامة للتعريف بالمحامي عند مراجعته للجهات والدوائر الرسمية ولا يكتفى بها عن بطاقة الأحوال.,ما الذي تشتمل عليه بطاقة المحامي؟,البيانات اللازمة والتعليمات الهامة للتعريف بالمحامي,البيانات اللازمة والتعليمات الهامة للتعريف بالمحامي,البيانات الشخصية للمحامي والتعليمات الخاصة بالقضايا التي يتابعها,البيانات الشخصية للمحامي فقط,البيانات الشخصية للمحامي وبيانات القضايا التي يتابعها,0
يصدر للمحامي بطاقة مشتملة على البيانات اللازمة والتعليمات الهامة للتعريف بالمحامي عند مراجعته للجهات والدوائر الرسمية ولا يكتفى بها عن بطاقة الأحوال.,هل يمكن للمحامي الاكتفاء ببطاقة المحامي بدلاً من بطاقة الأحوال؟,لا يمكن للمحامي الاكتفاء ببطاقة المحامي بدلاً من بطاقة الأحوال,يمكن للمحامي استخدام بطاقة المحامي فقط في المحاكم,لا يمكن للمحامي الاكتفاء ببطاقة المحامي بدلاً من بطاقة الأحوال,يمكن للمحامي الاكتفاء ببطاقة المحامي بدلاً من بطاقة الأحوال,يمكن للمحامي استخدام بطاقة المحامي فقط في الدوائر الرسمية,1
"يبدي المدعى عليه قبوله أو رفضه ترك الخصومة بمذكرة موقعة منه إلى الكاتب المختص، أو مشافهة في الجلسة، ويدون ذلك في الضبط، فإن لم يبد قبوله أو رفضه بعد تبلغه وحتى موعد الجلسة عد موافقًا على ترك الدعوى.",كيف يمكن للمدعى عليه أن يبدي قبوله أو رفضه لترك الخصومة؟,"بمذكرة موقعة منه إلى الكاتب المختص، أو مشافهة في الجلسة",عبر البريد الإلكتروني,عبر الهاتف,عبر الرسائل النصية,"بمذكرة موقعة منه إلى الكاتب المختص، أو مشافهة في الجلسة",3
"يبدي المدعى عليه قبوله أو رفضه ترك الخصومة بمذكرة موقعة منه إلى الكاتب المختص، أو مشافهة في الجلسة، ويدون ذلك في الضبط، فإن لم يبد قبوله أو رفضه بعد تبلغه وحتى موعد الجلسة عد موافقًا على ترك الدعوى.",ماذا يحدث إذا لم يبد المدعى عليه قبوله أو رفضه بعد تبلغه وحتى موعد الجلسة؟,يعد موافقًا على ترك الدعوى,يعد رافضًا لترك الدعوى,يتم تأجيل الجلسة,يتم إلغاء الدعوى,يعد موافقًا على ترك الدعوى,3
"تقام الدعوى على الأجهزة الحكومية في المحكمة التي يقع في نطاق اختصاصها المقر الرئيس لها، ويجوز رفع الدعوى إلى المحكمة التي يقع في نطاق اختصاصها فرع الجهاز الحكومي في المسائل المتعلقة بذلك الفرع.",متى يمكن رفع الدعوى إلى المحكمة التي يقع في نطاق اختصاصها فرع الجهاز الحكومي؟,في المسائل المتعلقة بذلك الفرع,فقط إذا كان الفرع في نفس البلد,فقط إذا كان الفرع في نفس المدينة,في المسائل المتعلقة بذلك الفرع,في جميع الأحوال,2
يرد الأمين إلى المدين ذي الصفة الطبيعية أو ملاك المدين ذي الصفة الاعتبارية ما تبقى من حصيلة بيع أصول التفليسة بعد استيفاء الدائنين حقوقهم.,من يرد الأمين ما تبقى من حصيلة بيع أصول التفليسة بعد استيفاء الدائنين حقوقهم؟,المدين ذي الصفة الطبيعية أو ملاك المدين ذي الصفة الاعتبارية,الدائنين,القاضي,الشركة المفلسة,المدين ذي الصفة الطبيعية أو ملاك المدين ذي الصفة الاعتبارية,3
يرد الأمين إلى المدين ذي الصفة الطبيعية أو ملاك المدين ذي الصفة الاعتبارية ما تبقى من حصيلة بيع أصول التفليسة بعد استيفاء الدائنين حقوقهم.,متى يرد الأمين ما تبقى من حصيلة بيع أصول التفليسة؟,بعد استيفاء الدائنين حقوقهم,بعد استيفاء الدائنين حقوقهم,قبل بيع أي من أصول التفليسة,قبل استيفاء الدائنين حقوقهم,بعد بيع جميع أصول التفليسة,0
- «... 2-بالنسبة لأموال القصار فإذا كان ولي القاصر الأب فإنه لا يحتاج إلى مراجعة القاضي في البيع والشراء بل يتصرف بما يراه مصلحة ولا يتعرض له بشيء إلا فيما لو ظهر عليه ما يوجب منعه من التصرف فإنه يمنع . 3-على القائم على شئون القاصر ونحوه سواء كان من قبل الحاكم أو وصياً من قبل الأب مراجعة القاضي في كل التصرفات التي يجريها في مال القاصر ولا يبيع عقاره إلا عن طريق القاضي وعلى القاضي التحقق عن ذلك بواسطة أهل الخبرة وعليه أن يدون كافة مبررات البيع في الصك وأن تجرى محاسبة الولي والناظر سنوياً وأن يقدما بيانات في نهاية كل عام يبين فيها ما طرأ على المال الذي في أيديهما من أرباح أوخسارة وما قاما به من إصلاحات للعقار وما صرفه على العقار لإصلاحه أو نفقات على القصار ونحوهم . 4-تتخذ المحكمة ملفات خاصة للأوقاف وأموال القصار ونحوهم وتربط بهذه الملفات كافة المعلومات كما تتخذ دفتراً تقيد فيه الأوقاف وأموال القصار ونحوهم ويبين فيه كل ما يطرأ على المال من نمو أو نقص وإذا كان المال لقاصر ونحوه وسلم لصاحبه يذكر ذلك مع ذكر مستند تسليم المال . 5-يعامل الوصي من قبل الأب معاملة المولى من الحاكم في المحاسبة ومراقبة أعماله في المال ولهما المتاجرة بما وليا عليه من أموال أو دفعها لثقة أمين خبير بشئون التجارة بعد موافقة القاضي وعلى المحكمة أن تسلم الأموال للأوصياء والأولياء والنظار بموجب بيانات يوضح فيها نوع المال وعدده وحال العقار من صلاح أو خراب ولا يصح أن تبقى الأموال النقدية المعدة لشراء عقار للوقف ونحوه بيد الوصي أو الناظر أو الولي أكثر من المدة التي تحددها المحكمة وينبغي أن تكون المدة قصيرة فإن زاد وجب إدخال المبالغ إلى مؤسسة النقد وعلى المؤسسة صرف تلك المبالغ إذا صدر إذن من المحكمة بذلك موضحاً فيه موجب الصرف بعد تحقق المحكمة ما يقتضي ذلك بما فيه نفع للقاصر والوقف ونحوهما . 6-على القاضي بذل المستطاع لمعرفة أهلية من يوليه على القاصر ونحوه ونظارة الوقف وهو مسؤول عن التساهل والتفريط في هذا مسؤولية مباشرة وتفرض المحكمة أجرة الولي والناظر بقدر ما يقومان به من عمل كما تقدر النفقة اللازمة لليتيم ونحوه ويتعين إجراء محاسبته عند استلام الأموال المذكورة عند عزل الناظر والوصي ونحوهما أو طلبهما الإعفاء وذلك تحت إشراف المحكمة وإيداع كافة المبالغ المذكورة في المؤسسة يكون عن طريق رئيس المحكمة في المحاكم التي فيها أكثر من قاض والإذن بصرفها كذلك ومن القاضي في المحاكم التي ليس فيها سوى قاض واحد.ولما ذكر حرر.اهـ.». نأمل الاطلاع وإكمال ما يلزم بموجبه والعمل بمقتضاه .) انتهى/و . ينظر نص التعميم في بيع الوقف وأموال القصار 1/595.,ما هي الإجراءات التي يجب اتباعها عند التصرف في أموال القاصر؟,يجب مراجعة القاضي في كل التصرفات التي يجريها في مال القاصر ولا يبيع عقاره إلا عن طريق القاضي,يمكن لولي القاصر التصرف في أموال القاصر كما يشاء دون الحاجة لأي موافقات,يمكن لولي القاصر بيع عقار القاصر دون مراجعة القاضي,يجب مراجعة القاضي في كل التصرفات التي يجريها في مال القاصر ولا يبيع عقاره إلا عن طريق القاضي,يمكن لولي القاصر التصرف في أموال القاصر دون مراجعة القاضي,2
"يكون القيد في السجل العقاري بإدراج البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية, وتوقيع القاضي عليها, وختمها بالختم الرسمي.",ما هي الخطوات المطلوبة للقيد في السجل العقاري؟,"إدراج البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية, وتوقيع القاضي عليها, وختمها بالختم الرسمي.",ختم البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية بالختم الرسمي فقط.,"إدراج البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية, وتوقيع القاضي عليها, وختمها بالختم الرسمي.",إدراج البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية فقط.,توقيع القاضي على البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية فقط.,1
"يكون القيد في السجل العقاري بإدراج البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية, وتوقيع القاضي عليها, وختمها بالختم الرسمي.",من يقوم بتوقيع البيانات الواردة في محضر التحديد والتحرير في صحيفة الوحدة العقارية؟,القاضي,القاضي,صاحب العقار,المحامي,كاتب العدل,0
يلحق بملف الوحدة العقارية جميع الأوراق المتعلقة بها من محاضر واعتراضات وقرارات.,ما الذي يلحق بملف الوحدة العقارية؟,جميع الأوراق المتعلقة بها من محاضر واعتراضات وقرارات,فقط الأوراق المتعلقة بالمحاضر,فقط الأوراق المتعلقة بالقرارات,فقط الأوراق المتعلقة بالاعتراضات,جميع الأوراق المتعلقة بها من محاضر واعتراضات وقرارات,3
يلحق بملف الوحدة العقارية جميع الأوراق المتعلقة بها من محاضر واعتراضات وقرارات.,ما هي الأوراق التي يمكن أن تتعلق بالوحدة العقارية؟,المحاضر والاعتراضات والقرارات,الرسوم والضرائب,العقود والاتفاقيات,الفواتير والاستدعاءات,المحاضر والاعتراضات والقرارات,3
"تعد إجراءات التحقيق نفسها والنتائج التي تسفر عنها من الأسرار التي يجب على المحققين ومعاونيهم - من كتاب وخبراء وغيرهم ممن يتصلون بالتحقيق أو يحضرونه بسبب وظيفتهم أو مهنتهم - عدم إفشائها، ومن يخالف منهم تتعين مساءلته.",ما هي الأسرار التي يجب على المحققين ومعاونيهم عدم إفشائها؟,إجراءات التحقيق نفسها والنتائج التي تسفر عنها,الأسرار الشخصية للمشتبه به,تفاصيل حياة المحقق الشخصية,الأسرار التجارية للشركة التي يعمل فيها المشتبه به,إجراءات التحقيق نفسها والنتائج التي تسفر عنها,3
"تعد إجراءات التحقيق نفسها والنتائج التي تسفر عنها من الأسرار التي يجب على المحققين ومعاونيهم - من كتاب وخبراء وغيرهم ممن يتصلون بالتحقيق أو يحضرونه بسبب وظيفتهم أو مهنتهم - عدم إفشائها، ومن يخالف منهم تتعين مساءلته.",ماذا يحدث للمحققين ومعاونيهم إذا أفشوا الأسرار؟,يتعين مساءلتهم,يتم تكريمهم,لا يحدث شيء,يتم ترقيتهم,يتعين مساءلتهم,3
"إذا لم تتوجه الدعوى لدى الدائرة فتحكم بردها، ويخضع هذا الحكم لطرق الاعتراض.",ماذا يحدث إذا لم تتوجه الدعوى لدى الدائرة؟,فتحكم بردها,تتوقف الدعوى,يتم تأجيل الدعوى,يتم تحويل الدعوى إلى دائرة أخرى,فتحكم بردها,3
"إذا لم تتوجه الدعوى لدى الدائرة فتحكم بردها، ويخضع هذا الحكم لطرق الاعتراض.",ما الذي يخضع لطرق الاعتراض في القضية المذكورة؟,الحكم,القاضي,الدعوى,الدائرة,الحكم,3
على لجنة الإفلاس -إذا رأت حاجة لإجراء مزيد من التحقق لوجود شبهة جريمة أو مخالفة منصوص عليها في النظام في أي مطالبة أو تصرف- إحالة الأمر إلى الجهة المعنية.,ما هي واجبات لجنة الإفلاس إذا رأت حاجة لإجراء مزيد من التحقق لوجود شبهة جريمة أو مخالفة منصوص عليها في النظام في أي مطالبة أو تصرف؟,إحالة الأمر إلى الجهة المعنية,تجاهل الشبهة والاستمرار في العمل,إحالة الأمر إلى الجهة المعنية,تقديم تقرير إلى الشرطة فقط,التحقيق بنفسها في القضية,1
على لجنة الإفلاس -إذا رأت حاجة لإجراء مزيد من التحقق لوجود شبهة جريمة أو مخالفة منصوص عليها في النظام في أي مطالبة أو تصرف- إحالة الأمر إلى الجهة المعنية.,متى يجب على لجنة الإفلاس إحالة الأمر إلى الجهة المعنية؟,إذا رأت حاجة لإجراء مزيد من التحقق لوجود شبهة جريمة أو مخالفة منصوص عليها في النظام في أي مطالبة أو تصرف,فقط عندما يتم تقديم شكوى رسمية,فقط عندما تتلقى أوامر من الشرطة,إذا رأت حاجة لإجراء مزيد من التحقق لوجود شبهة جريمة أو مخالفة منصوص عليها في النظام في أي مطالبة أو تصرف,فقط عندما يطلب منها القاضي,2
"1- لا يجوز للمضارب أن يخلط مال المضاربة بماله ولا أن يسلمه للغير مضاربة، إلا إذا جرى العرف بذلك أو كان رب المال قد فوضه العمل بما يراه.  2- في الأحوال التي يجوز فيها للمضارب خلط مال المضاربة بماله؛ يحسب ربح كل مال بقدر نسبته من المال المختلط، ويوزع النصيب المستحق لمال المضاربة بين المتعاقدين وفق أحكام هذا الفصل.",هل يجوز للمضارب أن يخلط مال المضاربة بماله وأن يسلمه للغير مضاربة؟,"لا يجوز، إلا إذا جرى العرف بذلك أو كان رب المال قد فوضه العمل بما يراه.",يجوز فقط إذا جرى العرف بذلك.,يجوز دائماً بدون شروط.,"لا يجوز، إلا إذا جرى العرف بذلك أو كان رب المال قد فوضه العمل بما يراه.",يجوز فقط إذا كان رب المال قد فوضه العمل بما يراه.,2
"1- لا يجوز للمضارب أن يخلط مال المضاربة بماله ولا أن يسلمه للغير مضاربة، إلا إذا جرى العرف بذلك أو كان رب المال قد فوضه العمل بما يراه.  2- في الأحوال التي يجوز فيها للمضارب خلط مال المضاربة بماله؛ يحسب ربح كل مال بقدر نسبته من المال المختلط، ويوزع النصيب المستحق لمال المضاربة بين المتعاقدين وفق أحكام هذا الفصل.",كيف يتم حساب ربح كل مال في الأحوال التي يجوز فيها للمضارب خلط مال المضاربة بماله؟,يحسب ربح كل مال بقدر نسبته من المال المختلط.,يتم تقسيم الربح بالتساوي بين جميع الأطراف المشاركة.,يحسب ربح كل مال بناءً على النسبة المئوية للمال الذي ساهم به.,يحسب ربح كل مال بقدر نسبته من المال المختلط.,يحسب الربح بناءً على النسبة المئوية للمال الذي ساهم به المضارب فقط.,2
إذا تعذر مقابلة الصك على سجله وذلك لتلف السجل فيرفع أصل الصك مع صورة ضبطه إلى المحكمة العليا.,ماذا يحدث إذا تعذر مقابلة الصك على سجله بسبب تلف السجل؟,يرفع أصل الصك مع صورة ضبطه إلى المحكمة العليا,يرفع أصل الصك مع صورة ضبطه إلى المحكمة العليا,يتم تجاهل الصك والاستمرار بالقضية,يتم تدمير الصك وإعادة إصداره,يتم تعليق القضية حتى يتم إصلاح السجل,0
إذا تعذر مقابلة الصك على سجله وذلك لتلف السجل فيرفع أصل الصك مع صورة ضبطه إلى المحكمة العليا.,إلى أين يتم رفع أصل الصك مع صورة ضبطه في حالة تلف السجل؟,إلى المحكمة العليا,إلى مكتب النائب العام,إلى مكتب الشرطة المحلي,إلى مكتب القاضي المعين,إلى المحكمة العليا,3
إذا كان جميع الورثة قصارًا ولا وصي عليهم فتقيم المحكمة من ينهي بطلب إثبات الوفاة وحصر الورثة.,من يقيم المحكمة لإنهاء بطلب إثبات الوفاة وحصر الورثة إذا كان جميع الورثة قصارًا ولا وصي عليهم؟,القاضي,الورثة,الشهود,القاضي,النائب العام,2
