question,ground_truth,question_i,llm,context,llm_answer,answer_similarity,questions,ground_truths,context_r,Experiment
ما هو الطلب العارض؟,لكل من الخصمين تقديم الطلبات العارضة قبل قفل باب المرافعة ويعود هذا الحق لهما متى قررت الدائرة إعادة فتح باب المرافعة، وفقًا للفقرة (١) مادة (٨٢) من اللائحة التنفيذية لنظام المرافعات الشرعية.,28,GroundTruthLLM,,لكل من الخصمين تقديم الطلبات العارضة قبل قفل باب المرافعة ويعود هذا الحق لهما متى قررت الدائرة إعادة فتح باب المرافعة، وفقًا للفقرة (١) مادة (٨٢) من اللائحة التنفيذية لنظام المرافعات الشرعية.,5,ما هو الطلب العارض؟,لكل من الخصمين تقديم الطلبات العارضة قبل قفل باب المرافعة ويعود هذا الحق لهما متى قررت الدائرة إعادة فتح باب المرافعة، وفقًا للفقرة (١) مادة (٨٢) من اللائحة التنفيذية لنظام المرافعات الشرعية.,لكل من الخصمين تقديم الطلبات العارضة قبل قفل باب المرافعة، ويعود هذا الحق لهما متى قررت الدائرة إعادة فتح باب المرافعة.,GroundTruthLLM | w/o Context
ما هي التصرفات التي تتطلب على الولي بموجب صك الولاية الحصول على إذن من المحكمة؟,إذا كان الولي غير الأب، واقتضى الأمر التصرف للقاصر أو الغائب بشراء عقار له أو بيع عقاره أو قسمته أو رهنه أو دمجه أو الاقتراض له أو طلب صرف ماله الذي أودعته المحكمة في البنك المركزي السعودي أو أحد فروعه أو في أحد المصارف في البلد لأي سبب، أو إذا كان المولى عليه طرفًا في الشركات التي يطلب توثيق عقودها أو زيادة رأس مالها; فليس للولي أو الوصي أن يجري أيًّا من تلك التصرفات إلا بعد استئذان المحكمة المختصة، وفقًا للمادة (224) من نظام المرافعات الشرعية.,29,GroundTruthLLM,,إذا كان الولي غير الأب، واقتضى الأمر التصرف للقاصر أو الغائب بشراء عقار له أو بيع عقاره أو قسمته أو رهنه أو دمجه أو الاقتراض له أو طلب صرف ماله الذي أودعته المحكمة في البنك المركزي السعودي أو أحد فروعه أو في أحد المصارف في البلد لأي سبب، أو إذا كان المولى عليه طرفًا في الشركات التي يطلب توثيق عقودها أو زيادة رأس مالها; فليس للولي أو الوصي أن يجري أيًّا من تلك التصرفات إلا بعد استئذان المحكمة المختصة، وفقًا للمادة (224) من نظام المرافعات الشرعية.,5,ما هي التصرفات التي تتطلب على الولي بموجب صك الولاية الحصول على إذن من المحكمة؟,إذا كان الولي غير الأب، واقتضى الأمر التصرف للقاصر أو الغائب بشراء عقار له أو بيع عقاره أو قسمته أو رهنه أو دمجه أو الاقتراض له أو طلب صرف ماله الذي أودعته المحكمة في البنك المركزي السعودي أو أحد فروعه أو في أحد المصارف في البلد لأي سبب، أو إذا كان المولى عليه طرفًا في الشركات التي يطلب توثيق عقودها أو زيادة رأس مالها; فليس للولي أو الوصي أن يجري أيًّا من تلك التصرفات إلا بعد استئذان المحكمة المختصة، وفقًا للمادة (224) من نظام المرافعات الشرعية.,إذا كان الولي غير الأب، واقتضى الأمر التصرف للقاصر أو الغائب بشراء عقار له أو بيع عقاره أو قسمته أو رهنه أو دمجه أو الاقتراض له أو طلب صرف ماله الذي أودعته المحكمة في مؤسسة النقد العربي السعودي أو أحد فروعها أو أحد المصارف في البلد لأي سبب، أو إذا كان المولى عليه طرفاً في الشركات التي يطلب توثيق عقودها أو زيادة رأس مالها؛ فليس للولي أو الوصي أن يجري أيًّا من تلك التصرفات إلا بعد استئذان المحكمة المختصة.,GroundTruthLLM | w/o Context
ما هي الجرائم التي يعاقب عليها بالسجن لسبع سنوات في نظام التنفيذ؟,أ - الامتناع عن تنفيذ الحكم النهائي الصادر في حقه، أو ثبت قيامه بإخفاء أمواله، أو تهريبها، أو امتنع عن الإفصاح عما لديه من أموال. ب - تعمد تعطيل التنفيذ بأن أقام دعوى قصد منها تعطيل التنفيذ. ج - مقاومة التنفيذ، بأن هدد، أو تعدى هو بنفسه - أو بوساطة غيره - على موظف، أو مرخص له يقوم بالتنفيذ، أو قام بأي من ذلك ضـد المنفذ له، وأي فعل آخر غير مشروع قام به بقصد مقاومة التنفيذ. د - الكذب في إقراراته أمام المحكمة، أو الكذب في الإجراءات، أو تقديم بيانات غير صحيحة.,30,GroundTruthLLM,,أ - الامتناع عن تنفيذ الحكم النهائي الصادر في حقه، أو ثبت قيامه بإخفاء أمواله، أو تهريبها، أو امتنع عن الإفصاح عما لديه من أموال. ب - تعمد تعطيل التنفيذ بأن أقام دعوى قصد منها تعطيل التنفيذ. ج - مقاومة التنفيذ، بأن هدد، أو تعدى هو بنفسه - أو بوساطة غيره - على موظف، أو مرخص له يقوم بالتنفيذ، أو قام بأي من ذلك ضـد المنفذ له، وأي فعل آخر غير مشروع قام به بقصد مقاومة التنفيذ. د - الكذب في إقراراته أمام المحكمة، أو الكذب في الإجراءات، أو تقديم بيانات غير صحيحة.,5,ما هي الجرائم التي يعاقب عليها بالسجن لسبع سنوات في نظام التنفيذ؟,أ - الامتناع عن تنفيذ الحكم النهائي الصادر في حقه، أو ثبت قيامه بإخفاء أمواله، أو تهريبها، أو امتنع عن الإفصاح عما لديه من أموال. ب - تعمد تعطيل التنفيذ بأن أقام دعوى قصد منها تعطيل التنفيذ. ج - مقاومة التنفيذ، بأن هدد، أو تعدى هو بنفسه - أو بوساطة غيره - على موظف، أو مرخص له يقوم بالتنفيذ، أو قام بأي من ذلك ضـد المنفذ له، وأي فعل آخر غير مشروع قام به بقصد مقاومة التنفيذ. د - الكذب في إقراراته أمام المحكمة، أو الكذب في الإجراءات، أو تقديم بيانات غير صحيحة.,1 - يعاقب بالسجن مدة لا تزيد على سبع سنـوات كل مـدين ارتكب أيًّا من الجرائم الآتية:  أ - الامتناع عن تنفيذ الحكم النهائي الصادر في حقه، أو ثبت قيامه بإخفاء أمواله، أو تهريبها، أو امتنع عن الإفصاح عما لديه من أموال.  ب - تعمد تعطيل التنفيذ بأن أقام دعوى قصد منها تعطيل التنفيذ.  ج - مقاومة التنفيذ، بأن هدد، أو تعدى هو بنفسه - أو بوساطة غيره - على موظف، أو مرخص له يقوم بالتنفيذ، أو قام بأي من ذلك ضـد المنفذ له، وأي فعل آخر غير مشروع قام به بقصد مقاومة التنفيذ.  د - الكذب في إقراراته أمام المحكمة، أو الكذب في الإجراءات، أو تقديم بيانات غير صحيحة.  2 - يعاقب بالعقوبة المنصوص عليها في الفقرة (1) من هذه المادة، كل من أعان المدين، أو ساعده في أي من الجرائم المنصوص عليها في الفقرات (1/ أ) و(1/ ب) و(1/ ج) و(1/ د) من هذه المادة.,GroundTruthLLM | w/o Context
ما هي الجرائم التي يعاقب عليها بالسجن مدة لا تزيد عن ثلاثة أشهر في نظام التنفيذ؟,يعاقب بالسجن مدة لا تزيد على ثلاثة أشهر كل من امتنع من الوالدين - أو غيرهما - عن تنفيذ حكم صادر بالحضانة، أو الولاية، أو الزيارة، أو قام بمقاومة التنفيذ، أو تعطيله.,31,GroundTruthLLM,,يعاقب بالسجن مدة لا تزيد على ثلاثة أشهر كل من امتنع من الوالدين - أو غيرهما - عن تنفيذ حكم صادر بالحضانة، أو الولاية، أو الزيارة، أو قام بمقاومة التنفيذ، أو تعطيله.,5,ما هي الجرائم التي يعاقب عليها بالسجن مدة لا تزيد عن ثلاثة أشهر في نظام التنفيذ؟,يعاقب بالسجن مدة لا تزيد على ثلاثة أشهر كل من امتنع من الوالدين - أو غيرهما - عن تنفيذ حكم صادر بالحضانة، أو الولاية، أو الزيارة، أو قام بمقاومة التنفيذ، أو تعطيله.,يعاقب بالسجن مدة لا تزيد على ثلاثة أشهر كل من امتنع من الوالدين - أو غيرهما - عن تنفيذ حكم صادر بالحضانة، أو الولاية، أو الزيارة ، أو قام بمقاومة التنفيذ، أو تعطيله.,GroundTruthLLM | w/o Context
ما هي الحالات التي لا يستحق فيها دفع تكاليف قضائية؟,إذا حكم بعدم الاختصاص فلا تستحق تكاليف جديدة لإقامة الدعوى أمام المحكمة المختصة ما لم يتغير موضوع الدعوى. إذا قضت المحكمة المختصة بنقض الحكم وإعادة الدعوى إلى المحكمة التي أصدرت الحكم المعترض عليه إلى المحكمة أو إلى أي محكمة أخرى.,32,GroundTruthLLM,,إذا حكم بعدم الاختصاص فلا تستحق تكاليف جديدة لإقامة الدعوى أمام المحكمة المختصة ما لم يتغير موضوع الدعوى. إذا قضت المحكمة المختصة بنقض الحكم وإعادة الدعوى إلى المحكمة التي أصدرت الحكم المعترض عليه إلى المحكمة أو إلى أي محكمة أخرى.,5,ما هي الحالات التي لا يستحق فيها دفع تكاليف قضائية؟,إذا حكم بعدم الاختصاص فلا تستحق تكاليف جديدة لإقامة الدعوى أمام المحكمة المختصة ما لم يتغير موضوع الدعوى. إذا قضت المحكمة المختصة بنقض الحكم وإعادة الدعوى إلى المحكمة التي أصدرت الحكم المعترض عليه إلى المحكمة أو إلى أي محكمة أخرى.,لاتفرض تكاليف جديدة على الدعوى في أي من الحالتين الآتيتين:  1.إذا حكم بعدم الاختصاص وأقيمت الدعوى أمام المحكمة المختصة.  2.إذا قضت المحكمة المختصة بنقض الحكم وإعادة الدعوى إلى المحكمة التي أصدرت الحكم المعترض عليه أو إلى محكمة أخرى.,GroundTruthLLM | w/o Context
ما هي الخبرة المطلوبة للحصول على ترخيص المحاماة بالنسبة لموظفي (القطاع الحكومي)؟,حسب ما نصّت عليه المادة (5/3) من اللائحة التنفيذية لنظام المحاماة، فإن الخبرة في طبيعة العمل تكون بمزاولة أحد الأعمال التالية: أ- القضاء داخل المملكة، وخارجها. ب- الإفتاء داخل المملكة بصفة رسمية. جـ- تدريس مواد الفقه، أو أصوله أو الأنظمة في الجامعات أو الدراسات العليا في المعاهد أو المؤسسات التعليمية الأخرى في المملكة. د- الاستشارات في أجهزة الدولة ومؤسساتها وهيئاتها. هـ- الخبرة المكتسبة في طبيعة العمل في الشركات والمؤسسات الأهلية. و- الترافع عن الغير أمام الجهات. ز- الادعاء العام، أو التحقيق بوزارة الداخلية داخل المملكة. ح- أعمال كتابات العدل العامة، أو كتابات العدل الأولى بالمملكة لكتاب العدل. ط- الكتابة في ضبوط القضايا الحقوقية، أو الجنائية، أو الانهائية بالمحاكم الشرعية، أو ديوان المظالم بالمملكة بوظيفة لا تقل عن مسمى (رئيس كتاب ضبط). ي- يعتد بالترخيص السابق إذا استوفيت مدة الخبرة متى كان ممارسًا للمهنة. وتخضع الخبرة في الفقرات السابقة لتقدير لجنة القيد والقبول.,33,GroundTruthLLM,,حسب ما نصّت عليه المادة (5/3) من اللائحة التنفيذية لنظام المحاماة، فإن الخبرة في طبيعة العمل تكون بمزاولة أحد الأعمال التالية: أ- القضاء داخل المملكة، وخارجها. ب- الإفتاء داخل المملكة بصفة رسمية. جـ- تدريس مواد الفقه، أو أصوله أو الأنظمة في الجامعات أو الدراسات العليا في المعاهد أو المؤسسات التعليمية الأخرى في المملكة. د- الاستشارات في أجهزة الدولة ومؤسساتها وهيئاتها. هـ- الخبرة المكتسبة في طبيعة العمل في الشركات والمؤسسات الأهلية. و- الترافع عن الغير أمام الجهات. ز- الادعاء العام، أو التحقيق بوزارة الداخلية داخل المملكة. ح- أعمال كتابات العدل العامة، أو كتابات العدل الأولى بالمملكة لكتاب العدل. ط- الكتابة في ضبوط القضايا الحقوقية، أو الجنائية، أو الانهائية بالمحاكم الشرعية، أو ديوان المظالم بالمملكة بوظيفة لا تقل عن مسمى (رئيس كتاب ضبط). ي- يعتد بالترخيص السابق إذا استوفيت مدة الخبرة متى كان ممارسًا للمهنة. وتخضع الخبرة في الفقرات السابقة لتقدير لجنة القيد والقبول.,5,ما هي الخبرة المطلوبة للحصول على ترخيص المحاماة بالنسبة لموظفي (القطاع الحكومي)؟,حسب ما نصّت عليه المادة (5/3) من اللائحة التنفيذية لنظام المحاماة، فإن الخبرة في طبيعة العمل تكون بمزاولة أحد الأعمال التالية: أ- القضاء داخل المملكة، وخارجها. ب- الإفتاء داخل المملكة بصفة رسمية. جـ- تدريس مواد الفقه، أو أصوله أو الأنظمة في الجامعات أو الدراسات العليا في المعاهد أو المؤسسات التعليمية الأخرى في المملكة. د- الاستشارات في أجهزة الدولة ومؤسساتها وهيئاتها. هـ- الخبرة المكتسبة في طبيعة العمل في الشركات والمؤسسات الأهلية. و- الترافع عن الغير أمام الجهات. ز- الادعاء العام، أو التحقيق بوزارة الداخلية داخل المملكة. ح- أعمال كتابات العدل العامة، أو كتابات العدل الأولى بالمملكة لكتاب العدل. ط- الكتابة في ضبوط القضايا الحقوقية، أو الجنائية، أو الانهائية بالمحاكم الشرعية، أو ديوان المظالم بالمملكة بوظيفة لا تقل عن مسمى (رئيس كتاب ضبط). ي- يعتد بالترخيص السابق إذا استوفيت مدة الخبرة متى كان ممارسًا للمهنة. وتخضع الخبرة في الفقرات السابقة لتقدير لجنة القيد والقبول.,الخبرة في طبيعة العمل تكون بمزاولة أحد الأعمال التالية:  أ - القضاء داخل المملكة، و خارجها.  ب - الإفتاء داخل المملكة بصفة رسمية.  جـ- تدريس مواد الفقه، أو أصوله أو الأنظمة في الجامعات أو الدراسات العليا في المعاهد أو المؤسسات التعليمية الأخرى في المملكة.  د- الاستشارات في أجهزة الدولة ومؤسساتها وهيئاتها.  هـ- الخبرة المكتسبة في طبيعة العمل في الشركات والمؤسسات الأهلية.  و - الترافع عن الغير أمام الجهات.  ز - الادعاء العام، أو التحقيق بوزارة الداخلية داخل المملكة.  ح- أعمال كتابات العدل العامة، أو كتابات العدل الأولى بالمملكة لكتاب العدل .  ط- الكتابة في ضبوط القضايا الحقوقية، أو الجنائية، أو الانهائية بالمحاكم الشرعية، أو ديوان المظالم بالمملكة بوظيفة لا تقل عن مسمى (رئيس كتاب ضبط).  ي- يعتد بالترخيص السابق إذا استوفيت مدة الخبرة متى كان ممارسا للمهنة.  وتخضع الخبرة في الفقرات السابقة لتقدير لجنة القيد والقبول.,GroundTruthLLM | w/o Context
ما هي الدعاوى المشمولة في التكاليف القضائية؟,الدعاوى التجارية. الدعاوى العمالية (الشركات). الدعاوى الجزائية (الحق الخاص). الدعاوى الحقوقية. طلبات التنفيذ والمنازعات التنفيذية.,34,GroundTruthLLM,,الدعاوى التجارية. الدعاوى العمالية (الشركات). الدعاوى الجزائية (الحق الخاص). الدعاوى الحقوقية. طلبات التنفيذ والمنازعات التنفيذية.,5,ما هي الدعاوى المشمولة في التكاليف القضائية؟,الدعاوى التجارية. الدعاوى العمالية (الشركات). الدعاوى الجزائية (الحق الخاص). الدعاوى الحقوقية. طلبات التنفيذ والمنازعات التنفيذية.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,GroundTruthLLM | w/o Context
ما هي الدعاوى والطلبات المستثناة من التكاليف القضائية؟,الدعاوى الجزائية العامة والدعاوى التأديبية والطلبات المتعلقة بها. قضايا الأحوال الشخصية والطلبات المتعلقة بها عدا طلب النقض وطلب التماس إعادة النظر. الدعاوى والطلبات التي يختص بها ديوان المظالم. الدعاوى والطلبات الناشئة عن تطبيق أحكام نظام الإفلاس. الدعاوى والطلبات المتعلقة بدعاوى قسمة التركات عدا طلب النقض والتماس إعادة النظر. الإنهاءات وما يتعلق بها من طلبات.,35,GroundTruthLLM,,الدعاوى الجزائية العامة والدعاوى التأديبية والطلبات المتعلقة بها. قضايا الأحوال الشخصية والطلبات المتعلقة بها عدا طلب النقض وطلب التماس إعادة النظر. الدعاوى والطلبات التي يختص بها ديوان المظالم. الدعاوى والطلبات الناشئة عن تطبيق أحكام نظام الإفلاس. الدعاوى والطلبات المتعلقة بدعاوى قسمة التركات عدا طلب النقض والتماس إعادة النظر. الإنهاءات وما يتعلق بها من طلبات.,5,ما هي الدعاوى والطلبات المستثناة من التكاليف القضائية؟,الدعاوى الجزائية العامة والدعاوى التأديبية والطلبات المتعلقة بها. قضايا الأحوال الشخصية والطلبات المتعلقة بها عدا طلب النقض وطلب التماس إعادة النظر. الدعاوى والطلبات التي يختص بها ديوان المظالم. الدعاوى والطلبات الناشئة عن تطبيق أحكام نظام الإفلاس. الدعاوى والطلبات المتعلقة بدعاوى قسمة التركات عدا طلب النقض والتماس إعادة النظر. الإنهاءات وما يتعلق بها من طلبات.,تسري أحكام النظام على جميع الدعاوى والطلبات التي تقدم إلى المحاكم، فيما عدا ما يأتي:  1.الدعاوى الجزائية العامة،والدعاوى التأديبية،والطلبات المتعلق بها.  2.الدعاوى والطلبات التي تختص بها محاكم الأحوال الشخصية، عدا طلب النقض وطلب التماس إعادة النظر.  3.الدعاوى والطلبات التي يختص بها ديوان المظالم.  4.الدعاوى والطلبات المتعلقة بدعاوى قسمة التركات، عدا طلب النقض وطلب التماس إعادة النظر.  5.الدعاوى والطلبات الناشئة عن تطبيق أحكام نظام الإفلاس.  6.الإنهاءات وما يتعلق بها من طلبات.,GroundTruthLLM | w/o Context
ما هي السندات التنفيذية التي نصّت عليها المادة التاسعة من نظام التنفيذ؟,تنص المادة التاسعة من نظام التنفيذ على ما يلي: لا يجوز التنفيذ الجبري إلا بسند تنفيذي لحق محدد المقدار حال الأداء، والسندات التنفيذية هي: الأحكام، والقرارات، والأوامر الصادرة من المحاكم. أحكام المحكمين المذيلة بأمر التنفيذ وفقًا لنظام التحكيم. محاضر الصلح التي تصدرها الجهات المخولة بذلك أو التي تصدق عليها المحاكم. الأوراق التجارية. العقود والمحررات الموثقة. الأحكام، والأوامر القضائية، وأحكام المحكمين، والمحررات الموثقة الصادرة في بلد أجنبي. الأوراق العادية التي يقر باستحقاق محتواها كليًا أو جزئيًا. العقود والأوراق التي لها قوة سند التنفيذي بموجب نظام.,36,GroundTruthLLM,,تنص المادة التاسعة من نظام التنفيذ على ما يلي: لا يجوز التنفيذ الجبري إلا بسند تنفيذي لحق محدد المقدار حال الأداء، والسندات التنفيذية هي: الأحكام، والقرارات، والأوامر الصادرة من المحاكم. أحكام المحكمين المذيلة بأمر التنفيذ وفقًا لنظام التحكيم. محاضر الصلح التي تصدرها الجهات المخولة بذلك أو التي تصدق عليها المحاكم. الأوراق التجارية. العقود والمحررات الموثقة. الأحكام، والأوامر القضائية، وأحكام المحكمين، والمحررات الموثقة الصادرة في بلد أجنبي. الأوراق العادية التي يقر باستحقاق محتواها كليًا أو جزئيًا. العقود والأوراق التي لها قوة سند التنفيذي بموجب نظام.,5,ما هي السندات التنفيذية التي نصّت عليها المادة التاسعة من نظام التنفيذ؟,تنص المادة التاسعة من نظام التنفيذ على ما يلي: لا يجوز التنفيذ الجبري إلا بسند تنفيذي لحق محدد المقدار حال الأداء، والسندات التنفيذية هي: الأحكام، والقرارات، والأوامر الصادرة من المحاكم. أحكام المحكمين المذيلة بأمر التنفيذ وفقًا لنظام التحكيم. محاضر الصلح التي تصدرها الجهات المخولة بذلك أو التي تصدق عليها المحاكم. الأوراق التجارية. العقود والمحررات الموثقة. الأحكام، والأوامر القضائية، وأحكام المحكمين، والمحررات الموثقة الصادرة في بلد أجنبي. الأوراق العادية التي يقر باستحقاق محتواها كليًا أو جزئيًا. العقود والأوراق التي لها قوة سند التنفيذي بموجب نظام.,لا يجوز التنفيذ الجبري إلا بسندٍ تنفيذيٍّ لحقٍّ محدد المقدار حالِّ الأداء، والسندات التنفيذية هي:  1 - الأحكام، والقرارات، والأوامر الصادرة من المحاكم.  2 - أحكام المحكمين المذيلة بأمر التنفيذ وفقًا لنظام التحكيم .  3 - محاضر الصلح التي تصدرها الجهات المخولة بذلك أو التي تصدق عليها المحاكم.  4 - الأوراق التجارية .  5 - العقود والمحررات الموثقة.  6 - الأحكام، والأوامر القضائية، وأحكام المحكمين، والمحررات الموثقة الصادرة في بلد أجنبي.  7 - الأوراق العادية التي يقر باستحقاق محتواها كليًا، أو جزئيًا .  8 - العقود والأوراق الأخرى التي لها قوة سند التنفيذ بموجب نظام.,GroundTruthLLM | w/o Context
ما هي الشروط الواجب توافرها لتجديد رخصة موثق؟, استمرار توافر شروط الترخيص في مقدم الطلب، وأن يجتاز ما تحدده الإدارة المختصة من اختبارات ودورات تدريبية. أن يتم تجديد الرخصة بناء على طلب يقدم قبل تاريخ انتهائها بمدة لا تقل عن تسعين يوماً ولا تزيد على مائة وثمانين يوماً. يقدم طلب التجديد وإعادة الإصدار وإعادة القيد في الجدول وفق النماذج والإجراءات التي تعتمدها الإدارة المختصة.,37,GroundTruthLLM,, استمرار توافر شروط الترخيص في مقدم الطلب، وأن يجتاز ما تحدده الإدارة المختصة من اختبارات ودورات تدريبية. أن يتم تجديد الرخصة بناء على طلب يقدم قبل تاريخ انتهائها بمدة لا تقل عن تسعين يوماً ولا تزيد على مائة وثمانين يوماً. يقدم طلب التجديد وإعادة الإصدار وإعادة القيد في الجدول وفق النماذج والإجراءات التي تعتمدها الإدارة المختصة.,5,ما هي الشروط الواجب توافرها لتجديد رخصة موثق؟, استمرار توافر شروط الترخيص في مقدم الطلب، وأن يجتاز ما تحدده الإدارة المختصة من اختبارات ودورات تدريبية. أن يتم تجديد الرخصة بناء على طلب يقدم قبل تاريخ انتهائها بمدة لا تقل عن تسعين يوماً ولا تزيد على مائة وثمانين يوماً. يقدم طلب التجديد وإعادة الإصدار وإعادة القيد في الجدول وفق النماذج والإجراءات التي تعتمدها الإدارة المختصة.,يشترط لتجديد الرخصة وإعادة إصدارها ما يأتي:  1- استمرار توافر شروط الترخيص في مقدم الطلب، وأن يجتاز ما تحدده الإدارة المختصة من اختبارات ودورات تدريبية.  2- أن يتم تجديد الرخصة بناء على طلب يقدم قبل تاريخ انتهائها بمدة لا تقل عن تسعين يوماً ولا تزيد على مائة وثمانين يوماً.  3- يقدم طلب التجديد وإعادة الإصدار وإعادة القيد في الجدول وفق النماذج والإجراءات التي تعتمدها الإدارة المختصة.,GroundTruthLLM | w/o Context
ما هي الشروط الواجب توافرها ليصبح المحامي مؤهل للتدريب؟,يشترط أن يكون التدريب لدى محامٍ أمضى مدة لا تقل عن خمس سنوات في مزاولة المهنة؛ وفقًا للمادة (٣/١٠/ب) من اللائحة التنفيذية لنظام المحاماة.,38,GroundTruthLLM,,يشترط أن يكون التدريب لدى محامٍ أمضى مدة لا تقل عن خمس سنوات في مزاولة المهنة؛ وفقًا للمادة (٣/١٠/ب) من اللائحة التنفيذية لنظام المحاماة.,5,ما هي الشروط الواجب توافرها ليصبح المحامي مؤهل للتدريب؟,يشترط أن يكون التدريب لدى محامٍ أمضى مدة لا تقل عن خمس سنوات في مزاولة المهنة؛ وفقًا للمادة (٣/١٠/ب) من اللائحة التنفيذية لنظام المحاماة.,يعتبر التدريب في مكاتب المحامين خبرة في طبيعة العمل إذا توافرت الشروط التالية:  أ - أن تتوافر في طالب التدريب شروط القيد في الجدول المنصوص عليها في النظام، وهذه اللائحة -وقت التدريب- عدا شرط الخبرة في طبيعة العمل.  ب - أن يكون التدريب لدى محامي قد أمضى مدة لا تقل عن خمس سنوات في مزاولة المهنة.  جـ - أن يتفرغ المتدرب لهذا العمل طيلة فترة التدريب وبدوام كامل.  د- أن يقيم المتدرب في مدينة مقر مزاولة المهنة، سواء كان المقر هو المقر الرئيس، أو فرعه.  هـ- أن يكون التدريب في طبيعة العمل المنصوص عليها في الفقرة (ج) من هذه المادة.  و- أن يكون التدريب بموجب عقد كتابي بين المحامي والمتدرّب لديه على أن يتضمن العقد مدة التدريب المحددة.  ز - أن يكون ترافع المتدرب في القضايا وتقديم الاستشارات وكالة عن المحامي.  ح - أن يتقدم المتدرب بعد انتهاء فترة تدريبه بطلب القيد في الجدول خلال مدة لا تزيد على سنتين.,GroundTruthLLM | w/o Context
ما هي الطلبات المشمولة في التكاليف القضائية؟,طلبات الاستئناف (ما عدا في قضايا الأحوال الشخصية والإنهاءات والقضايا الجزائية في الحق العام والقضايا الناشئة عن تطبيق أحكام الإفلاس). طلبات والنقض والتماس إعادة النظر في جميع التصنيفات القضائية. الطلبات العارضة. طلبات الإدخال من الخصوم. طلبات الرد. طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقًا قبل انتهاء المدة المتفق عليها لوقف الخصومة. طلب تصحيح الحكم أو تفسيره. طلب وقف تنفيذ الحكم. طلب نسخة بديلة للوثائق القضائية. طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية – أو الوثائق أو الأوراق التي تحت يد المحكمة. طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية. الطلـبات الأخرى التي تحددها اللائحة.,39,GroundTruthLLM,,طلبات الاستئناف (ما عدا في قضايا الأحوال الشخصية والإنهاءات والقضايا الجزائية في الحق العام والقضايا الناشئة عن تطبيق أحكام الإفلاس). طلبات والنقض والتماس إعادة النظر في جميع التصنيفات القضائية. الطلبات العارضة. طلبات الإدخال من الخصوم. طلبات الرد. طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقًا قبل انتهاء المدة المتفق عليها لوقف الخصومة. طلب تصحيح الحكم أو تفسيره. طلب وقف تنفيذ الحكم. طلب نسخة بديلة للوثائق القضائية. طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية – أو الوثائق أو الأوراق التي تحت يد المحكمة. طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية. الطلـبات الأخرى التي تحددها اللائحة.,5,ما هي الطلبات المشمولة في التكاليف القضائية؟,طلبات الاستئناف (ما عدا في قضايا الأحوال الشخصية والإنهاءات والقضايا الجزائية في الحق العام والقضايا الناشئة عن تطبيق أحكام الإفلاس). طلبات والنقض والتماس إعادة النظر في جميع التصنيفات القضائية. الطلبات العارضة. طلبات الإدخال من الخصوم. طلبات الرد. طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقًا قبل انتهاء المدة المتفق عليها لوقف الخصومة. طلب تصحيح الحكم أو تفسيره. طلب وقف تنفيذ الحكم. طلب نسخة بديلة للوثائق القضائية. طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية – أو الوثائق أو الأوراق التي تحت يد المحكمة. طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية. الطلـبات الأخرى التي تحددها اللائحة.,تُفرض على الطلبات الآتية تكاليف قضائية بمبلغ لا يزيد على عشرة آلاف ريال، وفقاً للمعايير والضوابط وقواعد التقدير التي تحددها اللائحة:  1.طلبات الاستئناف والنقض والتماس إعادة النظر.  2.الطلبات العارضة.  3.طلبات الإدخال من الخصوم.  4.طلبات الرد.  5.طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة.  6.طلب تصحيح الحكم أو تفسيرة.  7.الطلبات الأخرى التي تحددها اللائحة.,GroundTruthLLM | w/o Context
